ticker,name,shares,price,price,purchase_price,purchase_price,holding_value,holding_value,holding_gain_change_pct,six_month_return_pct,ytd_return_pct,one_year_return_pct,portfolio_pct,industry,pe_ratio,currency,holding_value_cad,highest_price_target,lowest_price_target
CAAP,Corporacion America Airports SA,1.0,$20.36,20.36,$2.39,2.39,$20.36,20.36,751.88,2.05,5.71,28.62,0.14%,"Airlines, Airports & Air Services",22.86,USD,27.8932,25.0,22.0
RYCEY,Rolls-Royce,20.0,$13.45,13.45,$1.66,1.66,$269.00,269.0,710.24,80.45,88.3,135.04,1.87%,Aerospace & Defense,34.28,USD,368.53000000000003,,
CEPU,Central Puerto SA,5.0,$12.76,12.76,$2.20,2.2,$63.80,63.8,480.0,12.54,18.62,57.14,0.44%,Regulated Electric,18.52,USD,87.406,,
TDS,Telephone & Data Systems,1.0,$38.93,38.93,$7.25,7.25,$38.93,38.93,436.97,8.44,14.13,82.26,0.27%,Telecommunications Services,-37.64,USD,53.33410000000001,53.0,49.0
TISI,Team,15.0,$17.5,17.5,$3.95,3.95,$262.50,262.5,343.04,4.17,27.83,75.17,1.83%,Specialty Business Services,-1.54,USD,359.625,,
CCL,Carnival,3.0,$29.7,29.7,$7.03,7.03,$89.10,89.1,322.48,4.25,18.75,73.48,0.62%,Leisure,16.10,USD,122.06700000000001,38.0,22.0
ICAGY,International Consolidated Airlines,10.0,$9.84,9.84,$2.43,2.43,$98.40,98.4,304.94,17.73,29.98,131.6,0.68%,"Airlines, Airports & Air Services",8.22,USD,134.80800000000002,,
OUST,Ouster,7.0,$23.215,23.215,$5.85,5.85,$162.51,162.51,296.56,174.1,109.96,92.64,1.13%,"Hardware, Equipment & Parts",-11.82,USD,222.6387,34.0,14.0
SCGLY,Societe Generale,5.0,$12.025,12.025,$3.05,3.05,$60.13,60.13,294.26,83.75,111.64,130.54,0.41%,Banks - Regional,12.49,USD,82.3781,,
TSE:VET,Vermilion Energy,7.0,C$11.81,11.81,C$3.14,3.14,C$82.67,82.67,276.11,9.58,8.62,16.68,0.42%,Oil & Gas Exploration & Production,-56.70,CAD,82.67,14.0,10.0
CNK,Cinemark Holdings,1.0,$27.67,27.67,$7.60,7.6,$27.67,27.67,264.08,4.09,10.68,20.94,0.19%,Entertainment,18.64,USD,37.907900000000005,37.0,22.0
